Country Name,Country Code,Indicator Name,Indicator Code,2004,2005,2006,2007,2008,2009,2010,2011
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,533741619,540553499,547224720,553771247,560186837,566539590,572674666,579334666
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,945989,969313,994564,1019362,1043076,1065540,1088486,1112976
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,302709154,308628177,314576732,320585896,326701327,332985938,339527169,345887176
Tonga,TON,"Population, total",SP.POP.TOTL,105036,105633,106190,106638,106932,107144,107383,107611
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1515703001,1541263909,1565892885,1589454615,1612709085,1636411632,1660546144,1684898004
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,746546802,766978666,788110000,810019264,832642735,855885698,879797419,904282154
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1361172,1369075,1376919,1384861,1392803,1401191,1410296,1420020
Tunisia,TUN,"Population, total",SP.POP.TOTL,10292225,10388344,10483558,10580395,10680380,10784504,10895063,11032528
Turkiye,TUR,"Population, total",SP.POP.TOTL,67785075,68704715,69601333,70158112,71051678,72039206,73142150,74223629
Tuvalu,TUV,"Population, total",SP.POP.TOTL,9791,9912,10030,10149,10272,10408,10550,10700
Tanzania,TZA,"Population, total",SP.POP.TOTL,38360879,39439505,40562052,41716497,42870884,43957933,45110527,46416031
Uganda,UGA,"Population, total",SP.POP.TOTL,27146084,27946588,28773227,29629804,30509862,31412520,32341728,33295738
Ukraine,UKR,"Population, total",SP.POP.TOTL,47451626,47105171,46787786,46509355,46258189,46053331,45870741,45706086
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2455899822,2475204158,2493607365,2511010944,2529819216,2549122048,2567922649,2587915297
Uruguay,URY,"Population, total",SP.POP.TOTL,3313801,3317665,3322282,3328651,3336126,3344156,3352651,3361637
United States,USA,"Population, total",SP.POP.TOTL,292805298,295516599,298379912,301231207,304093966,306771529,309327143,311583481
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,25864350,26167000,26488250,26868000,27302800,27767400,28562400,29339400
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,112608,112043,111427,110824,110316,109840,109308,108703
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,26226927,26668785,27102081,27525097,27933833,28327892,28715022,29096159
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,22715,23497,24323,25191,26115,27044,27556,27962
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,108466,108453,108369,108337,108397,108404,108357,108290
Viet Nam,VNM,"Population, total",SP.POP.TOTL,82311227,83142095,83951800,84762269,85597241,86482923,87411012,88349117
Vanuatu,VUT,"Population, total",SP.POP.TOTL,212422,217632,222923,228345,233952,239689,245453,251294
World,WLD,"Population, total",SP.POP.TOTL,6470924346,6552700448,6635110367,6717567584,6801440971,6885663352,6969985525,7054044372
Samoa,WSM,"Population, total",SP.POP.TOTL,188073,188626,189379,190478,191787,193176,194672,196351
Kosovo,XKX,"Population, total",SP.POP.TOTL,1704622,1705780,1719536,1733404,1747383,1761474,1775680,1791000
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,20733406,21320671,21966298,22641538,23329004,24029589,24743946,25475610
South Africa,ZAF,"Population, total",SP.POP.TOTL,48556071,49017147,49491756,49996094,50565812,51170779,51784921,52443325
Zambia,ZMB,"Population, total",SP.POP.TOTL,11188040,11564870,11971567,12402073,12852966,13318087,13792086,14265814
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,12160881,12224753,12330490,12450568,12550347,12679810,12839771,13025785
