Country Name,Country Code,Indicator Name,Indicator Code,2004,2005,2006,2007,2008,2009,2010,2011
Colombia,COL,"Population, total",SP.POP.TOTL,41648268,42220940,42772910,43306582,43815313,44313917,44816108,45308899
Comoros,COM,"Population, total",SP.POP.TOTL,581154,592683,604658,616899,629470,642493,656024,670071
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,486583,492827,498884,504733,510336,515638,521212,527521
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4252800,4315887,4378172,4440019,4501921,4563127,4622252,4679926
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,6760372,6802474,6844183,6884705,6923924,6964240,7004428,7044357
Cuba,CUB,"Population, total",SP.POP.TOTL,11225294,11246114,11260630,11269887,11276609,11283185,11290417,11298710
Curacao,CUW,"Population, total",SP.POP.TOTL,134192,137658,141239,144056,145880,146833,148703,150831
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,45286,46727,48177,49647,51123,52602,54074,55492
Cyprus,CYP,"Population, total",SP.POP.TOTL,1018684,1037062,1055438,1073873,1092390,1110974,1129686,1145086
Czechia,CZE,"Population, total",SP.POP.TOTL,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088
Germany,DEU,"Population, total",SP.POP.TOTL,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983
Djibouti,DJI,"Population, total",SP.POP.TOTL,818373,830861,846947,865196,882886,901103,919199,936811
Dominica,DMA,"Population, total",SP.POP.TOTL,68574,68674,68742,68775,68782,68787,68755,68742
Denmark,DNK,"Population, total",SP.POP.TOTL,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,9043127,9164768,9284168,9402206,9522948,9648061,9775755,9903737
Algeria,DZA,"Population, total",SP.POP.TOTL,32510186,32956690,33435080,33983827,34569592,35196037,35856344,36543541
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,1881561559,1896788261,1911721676,1926306467,1940768141,1955042105,1969186913,1984267781
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,2680567394,2725013738,2769421149,2813790790,2857587007,2901329923,2946285613,2991403487
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2116651449,2132517760,2148405823,2164155292,2179914111,2195169711,2210203758,2225992094
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,371533136,372077135,372780224,373485209,375012208,376867673,379079046,381328678
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,870270838,872913705,875627934,878456268,882088404,885659803,889169629,891329416
Ecuador,ECU,"Population, total",SP.POP.TOTL,13534593,13770012,14009061,14251835,14496797,14742766,14989585,15237728
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,77522427,79075310,80629670,82218755,83844783,85501064,87252413,89200054
Euro area,EMU,"Population, total",SP.POP.TOTL,332006792,333709006,335250759,336971054,338599969,339682801,340467048,339722971
Eritrea,ERI,"Population, total",SP.POP.TOTL,2763140,2831732,2880093,2926168,3005779,3083888,3147727,3207570
Spain,ESP,"Population, total",SP.POP.TOTL,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697
Estonia,EST,"Population, total",SP.POP.TOTL,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439
Ethiopia,ETH,"Population, total",SP.POP.TOTL,75301026,77469940,79691050,81996185,84357105,86755585,89237791,91817929
European Union,EUU,"Population, total",SP.POP.TOTL,434059923,435600393,437014860,438484072,439892213,440934530,441552554,440769682
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,674005044,690401342,707149927,723853346,741306396,759795159,778717407,797785010
Finland,FIN,"Population, total",SP.POP.TOTL,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272
Fiji,FJI,"Population, total",SP.POP.TOTL,866694,874923,883083,890648,896731,901383,905169,908355
France,FRA,"Population, total",SP.POP.TOTL,62716306,63188395,63628261,64021737,64379696,64710879,65030575,65345233
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,47989,48291,48313,48361,48411,48429,48410,48386
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,111438,110940,110301,109532,108704,107868,107588,107887
Gabon,GAB,"Population, total",SP.POP.TOTL,1417110,1458353,1502534,1549774,1599978,1653542,1711105,1772500
United Kingdom,GBR,"Population, total",SP.POP.TOTL,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258810
Georgia,GEO,"Population, total",SP.POP.TOTL,3927340,3902469,3880347,3860158,3848449,3814419,3786695,3756441
Ghana,GHA,"Population, total",SP.POP.TOTL,21906444,22496951,23098586,23708320,24326087,24950762,25574719,26205941
Gibraltar,GIB,"Population, total",SP.POP.TOTL,28716,29155,29587,29996,30398,30819,31262,31701
Guinea,GIN,"Population, total",SP.POP.TOTL,8961039,9140114,9330625,9547082,9779785,10021323,10270728,10527712
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,1612225,1660368,1711294,1764883,1820542,1878119,1937275,1998212
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1347009,1379713,1414091,1450572,1488431,1527196,1567220,1609017
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,826355,864726,905418,948814,994971,1043686,1094524,1144588
Greece,GRC,"Population, total",SP.POP.TOTL,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899
Grenada,GRD,"Population, total",SP.POP.TOTL,109516,110254,110988,111725,112478,113249,114039,114918
Greenland,GRL,"Population, total",SP.POP.TOTL,56911,56935,56774,56555,56328,56323,56905,56890
Guatemala,GTM,"Population, total",SP.POP.TOTL,12682108,12948292,13213330,13477017,13739299,14000190,14259687,14521515
Guam,GUM,"Population, total",SP.POP.TOTL,164004,164430,164675,164763,164725,164580,164905,165649
Guyana,GUY,"Population, total",SP.POP.TOTL,760424,759709,758367,756521,754150,751258,747932,744230
High income,HIC,"Population, total",SP.POP.TOTL,1129571825,1136981371,1145510251,1154791752,1164409232,1173066945,1180459116,1185474102
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600
Honduras,HND,"Population, total",SP.POP.TOTL,7383407,7564613,7745200,7924462,8101777,8277302,8450933,8622504
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,532571131,547936900,563930944,579864063,596301357,613535903,630953183,648927117
Croatia,HRV,"Population, total",SP.POP.TOTL,4304600,4310145,4311159,4310217,4309705,4305181,4295427,4280622
Haiti,HTI,"Population, total",SP.POP.TOTL,8961489,9111900,9266288,9420826,9575247,9730638,9842880,9954312
Hungary,HUN,"Population, total",SP.POP.TOTL,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727
IBRD only,IBD,"Population, total",SP.POP.TOTL,4164013241,4208938572,4252600296,4294824957,4338065967,4382047562,4425784776,4471184320
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,5391795246,5465994258,5539726956,5612590218,5686534868,5761985631,5838720255,5917716358
IDA total,IDA,"Population, total",SP.POP.TOTL,1227782005,1257055686,1287126660,1317765261,1348468901,1379938069,1412935479,1446532038
IDA blend,IDB,"Population, total",SP.POP.TOTL,409622323,419337831,429250772,439576756,450269469,461410153,473204510,484919898
